113.190.218.171 - - [05/May/2017:18:16:27 +0700] "GET /WebBanHang/upload/productimg/35094_25248_0_may_chu_intel.jpg HTTP/1.1" 200 98369
113.190.218.171 - - [05/May/2017:18:16:27 +0700] "GET /WebBanHang/upload/productimg/31335_pc_asus__m32cd_vn016d.jpg HTTP/1.1" 200 67779
113.190.218.171 - - [05/May/2017:18:16:27 +0700] "GET /WebBanHang/upload/productimg/34533_gmx_volcanoblue_bigproductimage.jpg HTTP/1.1" 200 79532
113.190.218.171 - - [05/May/2017:18:16:27 +0700] "GET /WebBanHang/upload/productimg/35319_vgin062_001.png HTTP/1.1" 200 254146
113.190.218.171 - - [05/May/2017:18:16:27 +0700] "GET /WebBanHang/upload/productimg/36104_acer_aspire_xc_780_dt_b5asv_002.jpg HTTP/1.1" 200 27609
113.190.218.171 - - [05/May/2017:18:16:27 +0700] "GET /WebBanHang/upload/productimg/33308_003.png HTTP/1.1" 200 235569
113.190.218.171 - - [05/May/2017:18:16:27 +0700] "GET /WebBanHang/frontend/images/loading.gif HTTP/1.1" 200 1737
113.190.218.171 - - [05/May/2017:18:16:28 +0700] "GET /WebBanHang/null HTTP/1.1" 404 1035
113.190.218.171 - - [05/May/2017:18:16:28 +0700] "GET /WebBanHang/frontend/images/x42.png HTTP/1.1" 200 669
113.190.218.171 - - [05/May/2017:18:16:28 +0700] "GET /WebBanHang/frontend/images/6x42.png HTTP/1.1" 200 2348
113.190.218.171 - - [05/May/2017:18:16:28 +0700] "GET /WebBanHang/frontend/images/9x42.png HTTP/1.1" 200 2430
113.190.218.171 - - [05/May/2017:18:16:28 +0700] "GET /WebBanHang/frontend/images/1x42.png HTTP/1.1" 200 1746
113.190.218.171 - - [05/May/2017:18:16:28 +0700] "GET /WebBanHang/frontend/images/0x42.png HTTP/1.1" 200 2436
113.190.218.171 - - [05/May/2017:18:16:28 +0700] "GET /WebBanHang/frontend/images/8x42.png HTTP/1.1" 200 2305
113.190.218.171 - - [05/May/2017:18:16:28 +0700] "GET /WebBanHang/frontend/images/4x42.png HTTP/1.1" 200 2321
113.190.218.171 - - [05/May/2017:18:16:28 +0700] "GET /WebBanHang/frontend/images/2x42.png HTTP/1.1" 200 2300
113.190.218.171 - - [05/May/2017:18:16:28 +0700] "GET /WebBanHang/frontend/images/5x42.png HTTP/1.1" 200 2198
113.190.218.171 - - [05/May/2017:18:16:28 +0700] "GET /WebBanHang/frontend/images/3x42.png HTTP/1.1" 200 2393
113.190.218.171 - - [05/May/2017:18:16:28 +0700] "GET /WebBanHang/frontend/images/7x42.png HTTP/1.1" 200 2139
113.190.218.171 - - [05/May/2017:18:16:28 +0700] "GET /WebBanHang/frontend/images/arrows.png HTTP/1.1" 200 824
113.190.218.171 - - [05/May/2017:18:16:28 +0700] "GET /favicon.ico HTTP/1.1" 404 1027
113.190.218.171 - - [05/May/2017:18:16:30 +0700] "GET /WebBanHang/frontend/detail.jsp?prid=14 HTTP/1.1" 200 23971
113.190.218.171 - - [05/May/2017:18:16:30 +0700] "GET /WebBanHang/frontend/css/jquery.fancybox-buttons.css?v=1.0.5 HTTP/1.1" 200 2561
113.190.218.171 - - [05/May/2017:18:16:30 +0700] "GET /WebBanHang/frontend/css/magiczoom.css HTTP/1.1" 200 2043
